contest,panel,submitted,financed
SONATA 7,HS6,57,4.0
SONATA 8,NZ1,22,2.0
SONATA 8,NZ2,22,3.0
SONATA 8,NZ3,37,6.0
SONATA 8,NZ4,24,3.0
SONATA 8,NZ5,37,4.0
SONATA 8,NZ6,14,3.0
SONATA 8,NZ7,55,7.0
SONATA 8,NZ8,21,4.0
SONATA 8,NZ9,48,6.0
SONATA 8,ST1,14,3.0
SONATA 8,ST2,21,3.0
SONATA 8,ST3,27,5.0
SONATA 8,ST4,37,6.0
SONATA 8,ST5,90,13.0
SONATA 8,ST6,34,3.0
SONATA 8,ST7,25,4.0
SONATA 8,ST8,86,11.0
SONATA 8,ST9,8,1.0
SONATA 8,ST10,27,4.0
SONATA 8,HS1,20,2.0
SONATA 8,HS2,60,5.0
SONATA 8,HS3,42,6.0
SONATA 8,HS4,102,11.0
SONATA 8,HS5,48,7.0
SONATA 8,HS6,57,8.0
SONATA 9,NZ1,10,4.0
SONATA 9,NZ2,18,5.0
SONATA 9,NZ3,17,3.0
SONATA 9,NZ4,21,5.0
SONATA 9,NZ5,33,7.0
SONATA 9,NZ6,12,1.0
SONATA 9,NZ7,45,9.0
SONATA 9,NZ8,12,2.0
SONATA 9,NZ9,39,7.0
SONATA 9,ST1,16,4.0
SONATA 9,ST2,22,8.0
SONATA 9,ST3,14,4.0
SONATA 9,ST4,23,8.0
SONATA 9,ST5,65,12.0
SONATA 9,ST6,24,6.0
SONATA 9,ST7,16,3.0
SONATA 9,ST8,54,11.0
SONATA 9,ST9,5,2.0
SONATA 9,ST10,16,5.0
SONATA 9,HS1,20,2.0
SONATA 9,HS2,57,6.0
SONATA 9,HS3,38,8.0
SONATA 9,HS4,61,6.0
SONATA 9,HS5,44,8.0
SONATA 9,HS6,42,6.0
SONATA BIS 1,HS,86,19.0
SONATA BIS 1,ST,102,25.0
SONATA BIS 1,NZ,82,17.0
SONATA BIS 2,NZ,93,16.0
SONATA BIS 2,ST,109,20.0
SONATA BIS 2,HS,128,14.0
SONATA BIS 3,HS,142,13.0
SONATA BIS 3,ST,130,24.0
SONATA BIS 3,NZ,99,15.0
SONATA BIS 4,HS,129,17.0
SONATA BIS 4,ST,162,23.0
SONATA BIS 4,NZ,123,17.0
SONATA BIS 5,HS,112,20.0
SONATA BIS 5,ST,173,40.0
SONATA BIS 5,NZ,123,31.0
SONATA BIS 6,HS,104,17.0
SONATA BIS 6,NZ,113,30.0
SONATA BIS 6,ST,171,49.0
SONATA BIS 7,HS,75,17.0
SONATA BIS 7,NZ,102,27.0
SONATA BIS 7,ST,161,42.0
SONATA BIS 8,HS,25,2.0
SONATA BIS 8,NZ,27,3.0
SONATA BIS 8,ST,41,6.0
SONATA BIS 9,HS,10,2.0
SONATA BIS 9,NZ,27,5.0
SONATA BIS 9,ST,27,5.0
SONATA BIS 1,HS,86,19.0
SONATA BIS 1,ST,102,25.0
SONATA BIS 1,NZ,82,17.0
SONATA BIS 2,NZ,93,16.0
SONATA BIS 2,ST,109,20.0
SONATA BIS 2,HS,128,14.0
SONATA BIS 3,HS,142,13.0
SONATA BIS 3,ST,130,24.0
SONATA BIS 3,NZ,99,15.0
SONATA BIS 4,HS,129,17.0
SONATA BIS 4,ST,162,23.0
SONATA BIS 4,NZ,123,17.0
SONATA BIS 5,HS,112,20.0
SONATA BIS 5,ST,173,40.0
SONATA BIS 5,NZ,123,31.0
SONATA BIS 6,HS,104,17.0
SONATA BIS 6,NZ,113,30.0
SONATA BIS 6,ST,171,49.0
SONATA BIS 7,HS,75,17.0
SONATA BIS 7,NZ,102,27.0
SONATA BIS 7,ST,161,42.0
SONATA BIS 8,HS,25,2.0
SONATA BIS 8,NZ,27,3.0
SONATA BIS 8,ST,41,6.0
SONATA BIS 9,HS,10,2.0
SONATA BIS 9,NZ,27,5.0
SONATA BIS 9,ST,27,5.0
SONATINA 1,HS,44,6.0
SONATINA 1,NZ,31,11.0
SONATINA 1,ST,48,19.0
SONATINA 2,HS,59,14.0
SONATINA 2,NZ,40,13.0
SONATINA 2,ST,55,18.0
SONATINA 3,HS,79,20.0
SONATINA 3,NZ,50,14.0
SONATINA 3,ST,61,16.0
